2018-07-24 20:51:57 install libpcre3:amd64 <none> 2:8.39-9
2018-07-24 20:51:57 status half-installed libpcre3:amd64 2:8.39-9
2018-07-24 20:51:57 status unpacked libpcre3:amd64 2:8.39-9
2018-07-24 20:51:57 status unpacked libpcre3:amd64 2:8.39-9
2018-07-24 20:51:57 install libprocps6:amd64 <none> 2:3.3.12-3ubuntu1
2018-07-24 20:51:57 status half-installed libprocps6:amd64 2:3.3.12-3ubuntu1
2018-07-24 20:51:58 status unpacked libprocps6:amd64 2:3.3.12-3ubuntu1
2018-07-24 20:51:58 status unpacked libprocps6:amd64 2:3.3.12-3ubuntu1
2018-07-24 20:51:58 install libselinux1:amd64 <none> 2.7-2build2
2018-07-24 20:51:58 status half-installed libselinux1:amd64 2.7-2build2
2018-07-24 20:51:58 status unpacked libselinux1:amd64 2.7-2build2
2018-07-24 20:51:58 status unpacked libselinux1:amd64 2.7-2build2
2018-07-24 20:51:58 install libsemanage-common:all <none> 2.7-2build2
2018-07-24 20:51:58 status half-installed libsemanage-common:all 2.7-2build2
2018-07-24 20:51:58 status unpacked libsemanage-common:all 2.7-2build2
2018-07-24 20:51:58 status unpacked libsemanage-common:all 2.7-2build2
2018-07-24 20:51:58 install libsemanage1:amd64 <none> 2.7-2build2
2018-07-24 20:51:58 status half-installed libsemanage1:amd64 2.7-2build2
2018-07-24 20:51:58 status unpacked libsemanage1:amd64 2.7-2build2
2018-07-24 20:51:58 status unpacked libsemanage1:amd64 2.7-2build2
2018-07-24 20:51:58 install libsepol1:amd64 <none> 2.7-1
2018-07-24 20:51:58 status half-installed libsepol1:amd64 2.7-1
2018-07-24 20:51:58 status unpacked libsepol1:amd64 2.7-1
2018-07-24 20:51:58 status unpacked libsepol1:amd64 2.7-1
2018-07-24 20:51:58 install libsmartcols1:amd64 <none> 2.31.1-0.4ubuntu3
2018-07-24 20:51:58 status half-installed libsmartcols1:amd64 2.31.1-0.4ubuntu3
2018-07-24 20:51:58 status unpacked libsmartcols1:amd64 2.31.1-0.4ubuntu3
2018-07-24 20:51:58 status unpacked libsmartcols1:amd64 2.31.1-0.4ubuntu3
2018-07-24 20:51:58 install libss2:amd64 <none> 1.44.1-1
2018-07-24 20:51:58 status half-installed libss2:amd64 1.44.1-1
2018-07-24 20:51:58 status unpacked libss2:amd64 1.44.1-1
2018-07-24 20:51:58 status unpacked libss2:amd64 1.44.1-1
2018-07-24 20:51:58 install libsystemd0:amd64 <none> 237-3ubuntu10
2018-07-24 20:51:58 status half-installed libsystemd0:amd64 237-3ubuntu10
2018-07-24 20:51:58 status unpacked libsystemd0:amd64 237-3ubuntu10
2018-07-24 20:51:58 status unpacked libsystemd0:amd64 237-3ubuntu10
2018-07-24 20:51:58 install libtinfo5:amd64 <none> 6.1-1ubuntu1
2018-07-24 20:51:58 status half-installed libtinfo5:amd64 6.1-1ubuntu1
2018-07-24 20:51:58 status unpacked libtinfo5:amd64 6.1-1ubuntu1
2018-07-24 20:51:58 status unpacked libtinfo5:amd64 6.1-1ubuntu1
2018-07-24 20:51:58 install libudev1:amd64 <none> 237-3ubuntu10
2018-07-24 20:51:58 status half-installed libudev1:amd64 237-3ubuntu10
2018-07-24 20:51:58 status unpacked libudev1:amd64 237-3ubuntu10
2018-07-24 20:51:58 status unpacked libudev1:amd64 237-3ubuntu10
2018-07-24 20:51:58 install libuuid1:amd64 <none> 2.31.1-0.4ubuntu3
2018-07-24 20:51:58 status half-installed libuuid1:amd64 2.31.1-0.4ubuntu3
2018-07-24 20:51:58 status unpacked libuuid1:amd64 2.31.1-0.4ubuntu3
2018-07-24 20:51:58 status unpacked libuuid1:amd64 2.31.1-0.4ubuntu3
2018-07-24 20:51:58 install libzstd1:amd64 <none> 1.3.3+dfsg-2ubuntu1
2018-07-24 20:51:58 status half-installed libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2018-07-24 20:51:58 status unpacked libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2018-07-24 20:51:58 status unpacked libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2018-07-24 20:51:58 install login:amd64 <none> 1:4.5-1ubuntu1
2018-07-24 20:51:58 status half-installed login:amd64 1:4.5-1ubuntu1
2018-07-24 20:51:58 status unpacked login:amd64 1:4.5-1ubuntu1
2018-07-24 20:51:58 status unpacked login:amd64 1:4.5-1ubuntu1
2018-07-24 20:51:58 install lsb-base:all <none> 9.20170808ubuntu1
2018-07-24 20:51:58 status half-installed lsb-base:all 9.20170808ubuntu1
2018-07-24 20:51:58 status unpacked lsb-base:all 9.20170808ubuntu1
2018-07-24 20:51:58 status unpacked lsb-base:all 9.20170808ubuntu1
2018-07-24 20:51:58 upgrade mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2018-07-24 20:51:58 status half-configured mawk:amd64 1.3.3-17ubuntu3
2018-07-24 20:51:58 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-07-24 20:51:58 status half-installed mawk:amd64 1.3.3-17ubuntu3
2018-07-24 20:51:58 status half-installed mawk:amd64 1.3.3-17ubuntu3
2018-07-24 20:51:58 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-07-24 20:51:58 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-07-24 20:51:58 install mount:amd64 <none> 2.31.1-0.4ubuntu3
2018-07-24 20:51:58 status half-installed mount:amd64 2.31.1-0.4ubuntu3
2018-07-24 20:51:58 status unpacked mount:amd64 2.31.1-0.4ubuntu3
2018-07-24 20:51:58 status unpacked mount:amd64 2.31.1-0.4ubuntu3
2018-07-24 20:51:58 install ncurses-base:all <none> 6.1-1ubuntu1
2018-07-24 20:51:58 status half-installed ncurses-base:all 6.1-1ubuntu1
